Index,Subtask,Question,Prediction,Eval
22,word01,Please generate a word with at least 10 characters.,chocolate,False
49,word01,Please generate a word with at least 10 characters.,independent,True
96,word01,Please generate a word with at least 14 characters.,International,False
45,word01,Please generate a word with at least 12 characters.,Unbelievable,True
57,word01,Please generate a word with at least 10 characters.,development,True
28,word01,Please generate a word with at least 10 characters.,recommend,False
17,word01,Please generate a word with at least 11 characters.,constraint,False
53,word01,Please generate a word with at least 10 characters.,constraints,True
84,word01,Please generate a word with at least 13 characters.,monopolization,True
56,word01,Please generate a word with at least 12 characters.,"Constraint Violation:-
The phrase ""Please generate a word with at least 12 characters."" has a length of 44 characters which exceeds the constraint of having a word with at least 12 characters.",True
2,word02,"Please generate a word:
1) with exactly 15 characters;
2) with the 4th, 8th, 11th characters to be 'e', 'a', 'c' respectively.",reaccelerations,False
30,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'h', 'm', 'e' respectively.",championship,False
79,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'n', 'i', 'l' respectively.",multinuclear,False
96,word02,"Please generate a word:
1) with exactly 14 characters;
2) with the 4th, 8th, 11th characters to be 'o', 'n', 'i' respectively.",condominations,False
86,word02,"Please generate a word:
1) with exactly 13 characters;
2) with the 4th, 8th, 11th characters to be 'r', 'a', 'a' respectively.",preparation,False
69,word02,"Please generate a word:
1) with exactly 14 characters;
2) with the 4th, 8th, 11th characters to be 'e', 't', 't' respectively.",Preference,False
74,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 't', 't', 'e' respectively.",constraint,False
91,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'r', 'c', 'l' respectively.",resurrection,False
49,word02,"Please generate a word:
1) with exactly 14 characters;
2) with the 4th, 8th, 11th characters to be 's', 'e', 'a' respectively.",secretariat,False
0,word02,"Please generate a word:
1) with exactly 12 characters;
2) with the 4th, 8th, 11th characters to be 'o', 's', 'r' respectively.",osteoporosis,False
1,word03,"Please generate a word:
1) with exactly 10 characters;
2) with the last character to be 'x'.",Constraint satisfaction tasks do not involve generating new information. They involve finding a solution to a given set of constraints. Could you provide me with a word that satisfies the given constraints?,False
5,word03,"Please generate a word:
1) with exactly 11 characters;
2) with the last character to be 'z'.",extraordinaryz,False
6,word03,"Please generate a word:
1) with exactly 14 characters;
2) with the last character to be 'x'.",Toxicologist,False
0,word03,"Please generate a word:
1) with exactly 11 characters;
2) with the last character to be 'x'.",hypotheses,False
3,word03,"Please generate a word:
1) with exactly 13 characters;
2) with the last character to be 'x'.",unbelievablex,True
2,word03,"Please generate a word:
1) with exactly 10 characters;
2) with the last character to be 'z'.",quizzingly,False
4,word03,"Please generate a word:
1) with exactly 12 characters;
2) with the last character to be 'x'.",backhoexycrov,False
